Elapsed Time,Distance,Moving Time,Distance,Max Speed,Elevation Gain,Elevation Low,Elevation High,Max Grade,Average Grade
2871,8.63,2828,8629.799805,8.399999619,186.2429962,131.8999939,234,29.10000038,0.00115878
6094,15.28,5822,15283.2002,10,229.0670013,131,326.2000122,49.5,0.00392588
2001,5.61,1951,5613.200195,5.400000095,119.7539978,131,233.8999939,16.20000076,0
2022,5.65,1997,5651.299805,5.099999905,119.4140015,131,233.8999939,21.20000076,0.00353901
2064,5.65,2047,5656.799805,6.099999905,123.8180008,131,234,23.10000038,-0.00353557
3102,9.36,3061,9366,5.199999809,27.53910065,131.1000061,159,46.70000076,-0.00106769
4987,11.5,4896,11508.09961,7,409.6440125,256.2000122,383.2000122,47.90000153,0.00434477
10236,24.25,9967,24258.59961,5.5,853.2479858,125,622.7000122,49.70000076,0
15286,19.29,12287,19295.5,18.29999924,1552.72998,32.59999847,1512.199951,50,-0.025912801
32444,15.9,14169,15905,10.60000038,1504.72998,808.7999878,2522.100098,49.59999847,-1.508960009
2291,7.04,2291,7046.600098,5.099999905,18.74609947,127.5999985,133.3000031,10.89999962,0.00283825
3044,9.47,3009,9478.5,5.900000095,31.3207798,130,159,21.20000076,0
40531,21.81,17742,21809.09961,10.5,2219.52002,1697.300049,3730.100098,50,-0.084368497
11767,22.17,11234,22172.59961,5,1411.780029,285.2999878,1196.5,49.70000076,-0.0148832
3265,10.2,3117,10205.59961,4.800000191,37.24670029,119,145,17.60000038,0
5026,11.65,4994,11650.40039,4.800000191,559.1060181,281.7999878,621,49.40000153,-0.00171668
20304,7.04,19719,7043,11,634.9949951,2300.600098,2478.699951,50,0.039755799
2712,6.63,2697,6632.899902,8.100000381,380.5180054,296,621.5999756,49.70000076,0.0120611
81510,18,32110,18001.5,9.100000381,2177.830078,2124.199951,4299,50,-0.00833264
5133,12.01,5076,12015.40039,5.099999905,560.4329834,281.7000122,621.2000122,47.79999924,-0.0024968
1723,5.77,1723,5775.700195,5.5,13.56219959,127.5999985,133.1000061,14.10000038,-0.034627799
3708,7.61,2651,7617.200195,9.5,155.1920013,132.1000061,234,26.10000038,-0.00525127
2496,5.51,2132,5517.299805,5.400000095,195.1730042,281.7000122,376.2999878,36.70000076,-0.065249301
1545,1.75,1368,1751.300049,4.699999809,319.1229858,296.1000061,615.7000122,50,18.2493
